variables,units,values,description
floatingse.member0.section_rho,kg/m**3,"[ 25937.44874275 315517.11701476   7748.31238939   7748.31238939
   7748.31238939   7748.31238939   7748.31238939   7748.31238939
   7748.31238939   7748.31238939   7748.31238939   7748.31238939
   7748.31238939   7748.31238939   7748.31238939   7748.31238939
   7748.31238939   7748.31238939   7748.31238939   7748.31238939
   7748.31238939  -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.
  -9999.          -9999.          -9999.          -9999.        ]",
floatingse.member0.section_E,Pa,"[ 2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11
  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11
  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11  2.000e+11
  2.000e+11  2.000e+11  2.000e+11 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03]",
floatingse.member0.section_G,Pa,"[ 7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10
  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10
  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10  7.930e+10
  7.930e+10  7.930e+10  7.930e+10 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03]",
floatingse.member0.section_sigma_y,Pa,"[ 3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08
  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08
  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08  3.450e+08
  3.450e+08  3.450e+08  3.450e+08 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03 -9.999e+03
 -9.999e+03 -9.999e+03]",
floatingse.member0.center_of_buoyancy,m,[  0.   0. -10.],
floatingse.member0.displacement,m**3,[1570.79632679],
floatingse.member0.buoyancy_force,N,[15788840.82192207],
floatingse.member0.idx_cb,,[5.],
floatingse.member0.Awater,m**2,[78.53981634],
floatingse.member0.Iwater,m**4,[490.87385212],
floatingse.member0.added_mass,kg,"[ 1610066.23496477  1610066.23496477   170833.33333333 53671584.97959626
 53671584.97959626        0.        ]",
floatingse.member0.waterline_centroid,m,[0. 0.],
floatingse.member0.z_dim,m,[-20.    -18.25  -16.5    -6.     14.545  15.   ],
floatingse.member0.d_eff,m,[10. 10. 10. 10. 10. 10.],
floatingse.member0.env.wind.U,m/s,[ 0.          0.          0.          0.         14.8851591  14.94028166],
floatingse.member0.env.windLoads.windLoads_Px,N/m,"[  0.           0.           0.           0.         949.98133685
 957.04134672]",
floatingse.member0.env.windLoads.windLoads_Py,N/m,[0. 0. 0. 0. 0. 0.],
floatingse.member0.env.windLoads.windLoads_Pz,N/m,[0. 0. 0. 0. 0. 0.],
floatingse.member0.env.windLoads.windLoads_qdyn,N/m**2,"[  0.           0.           0.           0.         135.71037634
 136.71735977]",
floatingse.member0.env.windLoads.windLoads_z,m,[-20.    -18.25  -16.5    -6.     14.545  15.   ],
floatingse.member0.env.windLoads.windLoads_beta,deg,[0.],
floatingse.member0.env.wave.U,m/s,[0.60994613 0.66001441 0.71419262 1.14653416 0.         0.        ],
floatingse.member0.env.wave.W,m/s,[-0.60994602 -0.66001431 -0.71419252 -1.1465341   0.          0.        ],
floatingse.member0.env.wave.V,m/s,[0.86259401 0.93340126 1.01002082 1.62144411 0.         0.        ],
floatingse.member0.env.wave.A,m/s**2,[0.40554546 0.43883522 0.47485763 0.76231604 0.         0.        ],
floatingse.member0.env.wave.p,N/m**2,"[210250.67488563 193417.48171389 176646.42068107  77641.75218107
      0.              0.        ]",
floatingse.member0.env.wave.phase_speed,m/s,[14.74885925],
floatingse.member0.env.waveLoads.waveLoads_Px,N/m,"[1323.14756022 1565.08793701 1844.45860463 4726.29775436    0.
    0.        ]",
floatingse.member0.env.waveLoads.waveLoads_Py,N/m,[0. 0. 0. 0. 0. 0.],
floatingse.member0.env.waveLoads.waveLoads_Pz,N/m,[0. 0. 0. 0. 0. 0.],
floatingse.member0.env.waveLoads.waveLoads_qdyn,N/m**2,"[190.66757013 223.25474942 261.41143613 673.70204343   0.
   0.        ]",
floatingse.member0.env.waveLoads.waveLoads_pt,N/m**2,"[210441.34245576 193640.73646331 176907.8321172   78315.45422451
      0.              0.        ]",
floatingse.member0.env.waveLoads.waveLoads_z,m,[-20.    -18.25  -16.5    -6.     14.545  15.   ],
floatingse.member0.env.waveLoads.waveLoads_beta,deg,[0.],
floatingse.member0.env.Px,N/m,"[1323.14756022 1565.08793701 1844.45860463 4726.29775436  949.98133685
  957.04134672]",
floatingse.member0.env.Py,N/m,[0. 0. 0. 0. 0. 0.],
floatingse.member0.env.Pz,N/m,[0. 0. 0. 0. 0. 0.],
floatingse.member0.env.qdyn,N/m**2,"[2.10441342e+05 1.93640736e+05 1.76907832e+05 7.83154542e+04
 1.35710376e+02 1.36717360e+02]",
floatingse.member0.Px,N/m,"[    0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
floatingse.member0.Py,N/m,"[    0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.
 -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999. -9999.]",
floatingse.member0.Pz,N/m,"[-1323.14756022 -1371.53563558 -1565.08793701 -1844.45860463
 -3237.347527   -3333.40883199 -4726.29775436 -4115.13922001
 -4050.80674271 -2506.82728751 -2442.49481021 -2185.16490101
 -2120.83242371 -1863.50251451 -1799.17003721 -1541.84012801
 -1477.50765071 -1220.17774151 -1155.84526421  -949.98133685
  -951.6105699   -957.04134672 -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.
 -9999.         -9999.         -9999.         -9999.        ]",
floatingse.member0.qdyn,Pa,"[ 2.08761282e+05  2.00360979e+05  1.85274284e+05  1.53081341e+05
  1.27611643e+05  1.02141946e+05  7.19891547e+04  6.49969289e+04
  4.83487722e+04  3.17006155e+04  2.83709841e+04  2.50413528e+04
  2.17117215e+04  1.83820901e+04  1.50524588e+04  1.17228274e+04
  8.39319610e+03  5.06356476e+03  2.26667443e+03  1.35826567e+02
  1.36330058e+02 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03]",
floatingse.member1.section_height,m,[ 1.75   1.75   2.499  8.001 20.545  0.455],
floatingse.member1.sigma_ult,Pa,[4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08],
floatingse.member1.wohler_exp,,[3. 3. 3. 3. 3. 3.],
floatingse.member1.wohler_A,,[4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08],
floatingse.member1.z_param,m,[-20.    -18.25  -16.5   -14.001  -6.     14.545  15.   ],
floatingse.member1.sec_loc,,[0.         0.05162623 0.11430046 0.26917914 0.69024264 1.        ],normalized sectional location
floatingse.member1.str_tw,deg,[0. 0. 0. 0. 0. 0.],structural twist of section
floatingse.member1.tw_iner,deg,[0. 0. 0. 0. 0. 0.],inertial twist of section
floatingse.member1.mass_den,kg/m,"[22683.73971802 22683.73971802 22683.73971802 22683.73971802
 22683.73971802 22683.73971802]",sectional mass per unit length
floatingse.member1.foreaft_iner,kg*m,"[437757.18888017 437757.18888017 437757.18888017 437757.18888017
 437757.18888017 437757.18888017]",sectional fore-aft intertia per unit length about the Y_G inertia axis
floatingse.member1.sideside_iner,kg*m,"[437757.18888017 437757.18888017 437757.18888017 437757.18888017
 437757.18888017 437757.18888017]",sectional side-side intertia per unit length about the Y_G inertia axis
floatingse.member1.foreaft_stff,N*m**2,"[1.12994202e+13 1.12994202e+13 1.12994202e+13 1.12994202e+13
 1.12994202e+13 1.12994202e+13]",sectional fore-aft bending stiffness per unit length about the Y_E elastic axis
floatingse.member1.sideside_stff,N*m**2,"[1.12994202e+13 1.12994202e+13 1.12994202e+13 1.12994202e+13
 1.12994202e+13 1.12994202e+13]",sectional side-side bending stiffness per unit length about the Y_E elastic axis
floatingse.member1.tor_stff,N*m**2,"[8.96044024e+12 8.96044024e+12 8.96044024e+12 8.96044024e+12
 8.96044024e+12 8.96044024e+12]",sectional torsional stiffness
floatingse.member1.axial_stff,N,"[5.85514331e+11 5.85514331e+11 5.85514331e+11 5.85514331e+11
 5.85514331e+11 5.85514331e+11]",sectional axial stiffness
floatingse.member1.cg_offst,m,[0. 0. 0. 0. 0. 0.],offset from the sectional center of mass
floatingse.member1.sc_offst,m,[0. 0. 0. 0. 0. 0.],offset from the sectional shear center
floatingse.member1.tc_offst,m,[0. 0. 0. 0. 0. 0.],offset from the sectional tension center
floatingse.member1.axial_load2stress,m**2,"[[0.         0.         0.34158003 0.11062514 0.11062514 0.        ]
 [0.         0.         0.34158003 0.11062514 0.11062514 0.        ]
 [0.         0.         0.34158003 0.11062514 0.11062514 0.        ]
 [0.         0.         0.34158003 0.11062514 0.11062514 0.        ]
 [0.         0.         0.34158003 0.11062514 0.11062514 0.        ]
 [0.         0.         0.34158003 0.11062514 0.11062514 0.        ]]",
